player_id,player_name,country,odds_to_win,odds_numeric,implied_prob,odds_swing,odds_rank,world_rank,previous_rank,fedex_rank,fedex_points,events_played,wins,top_10s,top_25s,cuts_made,recent_results,recent_form_summary,tournament_id,tournament_name,fetched_at
49960,Sepp Straka,AUT,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
66417,Blades Brown,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
59160,John Pak,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
33399,Adam Hadwin,CAN,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
33413,Ben Martin,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
22371,Aaron Baddeley,AUS,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
51890,Greyson Sigg,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
51766,Wyndham Clark,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
40058,Zac Blair,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
47988,Nick Hardy,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
48867,Matti Schmid,GER,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
31646,Emiliano Grillo,ARG,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
40115,Adam Svensson,CAN,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
27644,Brian Harman,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
63343,Aldrich Potgieter,RSA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
51950,Max McGreevy,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
27064,Jhonattan Vegas,VEN,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
59141,Matt McCarty,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
34466,Peter Malnati,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
51349,Nico Echavarria,COL,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
32791,K.H. Lee,KOR,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
47420,Jake Knapp,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
25198,Francesco Molinari,ITA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
56781,Isaiah Salinda,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
29725,Tony Finau,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
59095,Chris Gotterup,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
50474,Tim Widing,SWE,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
36824,Paul Peterson,USA,,,,,999,,,,,0,0,0,0,0,,,R2025002,The American Express,2026-01-25T11:21:07.387302
