player_name,dg_id
"Aberg, Ludvig",23950
"Adam, Cameron",34024
"Aphibarnrat, Kiradech",12321
"Armitage, Marcus",17813
"Arnaus, Adri",23236
"Ayora, Angel",30445
"Bairstow, Sam",28615
"Baldwin, Matthew",13344
"Beauvy, Paul",25536
"Bergstrom, Albin",23620
"Berry, Joshua",31520
"Biondi, Fred",25614
"Bradbury, Dan",29971
"Buchanan, Jack",27379
"Cantero Gutierrez, Ivan",19635
"Capan III, Frankie",21412
"Cauley, Bud",14502
"Celli, Filippo",23549
"Chacarra, Eugenio",26745
"Charmasson, Clement",22220
"Clements, Todd",22608
"Coussaud, Ugo",20727
"Couvra, Martin",27811
"Crocker, Sean",23610
"Dantorp, Jens",14018
"De Leo, Gregorio",26506
"Dean, Joe",16497
"Debove, Quentin",25325
"Decottignies-Lafon, Mathieu",13998
"Detry, Thomas",14181
"Du Plessis, Hennie",19421
"Elvira Mijares, Ignacio",12988
"Elvira, Manuel",26008
"Ferguson, Ewen",21646
"Fisher, Ross",9396
"Fitzpatrick, Matt",17646
"Fleetwood, Tommy",12294
"Follet-Smith, Benjamin",15211
"Forrest, Grant",16475
"Forsstrom, Simon",19806
"Gallegos, Andres",19296
"Garcia Rodriguez, Sebastian",12258
"Gavins, Daniel",18241
"Gerard, Ryan",29767
"Girrbach, Joel",15592
"Gouveia, Ricardo",18722
"Guerrier, Julien",10201
"Guillamoundeguy, Oihan",28239
"Gumberg, Jordan",23892
"Halvorsen, Andreas",17747
"Hebert, Benjamin",12213
"Hidalgo, Angel",24127
"Hill, Calum",25131
"Hoshino, Rikuya",19190
"Hovland, Viktor",18841
"Jamieson, Scott",11397
"Johnston, Ryggs",32449
"Jonsson, Tobias",28686
"Kaneko, Kota",28268
"Katsuragawa, Yuto",20448
"Kieffer, Max",12317
"Kim, Michael",17543
"Kimsey, Nathan",18027
"Kinhult, Marcus",18514
"Ko, Jeong Weon",26213
"Kobori, Kazuma",24369
"LaCroix, Frederic",23733
"Langasque, Romain",16652
"Laporta, Francesco",14987
"Law, David",14784
"Lawrence, Thriston",18105
"Lee, Junghwan",13498
"Legros, Maxime",23700
"Lemke, Niklas",10418
"Levy, Alexander",14973
"Lombard, Zander",16897
"Luiten, Joost",10158
"Malcor, Ugo",27590
"Manassero, Matteo",11460
"Mazzoli, Stefano",20844
"McKinney, Connor",24172
"Meronk, Adrian",14196
"Micheluzzi, David",19224
"Migliozzi, Guido",17357
"Mjaaseth, Michael",27717
"Molinari, Edoardo",7033
"Morrison, James",11061
"Mory, Felix",25089
"Naidoo, Dylan",19429
"Norris, Shaun",7677
"Ortiz, Carlos",14735
"Otaegui, Adrian",14975
"Paratore, Renato",16549
"Paul, Jeremy",22087
"Paul, Yannik",19898
"Pavon, Matthieu",19960
"Peake, Ryan",15169
"Pemerika, Tao",30045358
"Pepperell, Eddie",15113
"Perez, Victor",20730
"Pieters, Thomas",13944
"Pineau, Pierre",20900
"Quayle, Anthony",18900
"Ravetto, David",23416
"Reitan, Kristoffer",21407
"Repetto Taylor, Rocco",31235
"Robinson Thompson, Brandon",24497
"Rodrigues, Daniel",27149
"Rosenmueller, Thomas",22736
"Rozner, Antoine",18770
"Saddier, Adrien",14792
"Sale, Julien",28465
"Sandhu, Yuvraj Singh",23060
"Sautron, Rudy",34096
"Schmidt, Ben",27258
"Schott, Freddy",27588
"Scrivener, Jason",12734
"Senior, Jack",15115
"Sharma, Shubhankar",17081
"Siem, Marcel",6950
"Smith, Cameron",15856
"Smylie, Elvis",24200
"Steinlechner, Maximilian",21677
"Stone, Brandon",15229
"Strydom, Ockie",13731
"Sullivan, Andy",15326
"Tarren, Callum",20519
"Toorop, Mike",25273
"Townsend, Hugo",31165
"Trolio, Cohen",28971
"Vaillant, Tom",28157
"Van Driel, Darius",13374
"Van Tonder, Daniel",15193
"Veerman, Johannes",20522
"Vidal, Quim",29712
"Von Dellingshausen, Nicolai",22231
"Walker, Euan",27147
"Waring, Paul",12426
"Winther, Jeff",15680
"Wu, Ashun",11763
"Young, Daniel",19908
"Yule, Jack",22496
"Zanotti, Fabrizio",9842
"Zhou, Yanhan",29119
