position,position_change,player_id,player_name,country,total,total_numeric,thru,current_round,current_hole,R1,R2,R3,R4,total_strokes,made_cut,status,movement,odds_to_win,odds_swing,tee_time
1,2,46046,Scottie Scheffler,USA,-16,-16,F,4,,65,67,66,66,264,True,complete,UP,,,
2,-1,46717,Viktor Hovland,NOR,-13,-13,F,4,,64,66,65,72,267,True,complete,DOWN,,,
3,-1,59018,Ryan Gerard,USA,-12,-12,F,4,,65,65,66,72,268,True,complete,DOWN,,,
T4,12,55721,Alex Fitzpatrick,ENG,-11,-11,F,4,,68,68,67,66,269,True,complete,UP,,,
T4,-1,59095,Chris Gotterup,USA,-11,-11,F,4,,64,67,67,71,269,True,complete,DOWN,,,
T4,5,60004,Jacob Bridgeman,USA,-11,-11,F,4,,68,67,66,68,269,True,complete,UP,,,
T4,-1,52955,Ludvig Åberg,SWE,-11,-11,F,4,,65,68,65,71,269,True,complete,DOWN,,,
T4,5,37378,Min Woo Lee,AUS,-11,-11,F,4,,62,73,66,68,269,True,complete,UP,,,
T4,3,28237,Rory McIlroy,NIR,-11,-11,F,4,,68,69,63,69,269,True,complete,UP,,,
T4,5,34098,Russell Henley,USA,-11,-11,F,4,,70,65,66,68,269,True,complete,UP,,,
T11,-8,24502,Adam Scott,AUS,-10,-10,F,4,,66,67,65,72,270,True,complete,DOWN,,,
T11,-4,57366,Cameron Young,USA,-10,-10,F,4,,70,62,68,70,270,True,complete,DOWN,,,
T11,5,30911,Tommy Fleetwood,ENG,-10,-10,F,4,,66,70,67,67,270,True,complete,UP,,,
T14,2,50525,Collin Morikawa,USA,-9,-9,F,4,,64,67,72,68,271,True,complete,UP,,,
T14,-1,37455,Si Woo Kim,KOR,-9,-9,F,4,,69,68,65,69,271,True,complete,DOWN,,,
T14,2,55182,Tom Kim,KOR,-9,-9,F,4,,67,68,68,68,271,True,complete,UP,,,
T14,8,48081,Xander Schauffele,USA,-9,-9,F,4,,67,71,67,66,271,True,complete,UP,,,
T18,4,56630,Akshay Bhatia,USA,-7,-7,F,4,,65,69,71,68,273,True,complete,UP,,,
T18,-5,22405,Justin Rose,ENG,-7,-7,F,4,,68,65,69,71,273,True,complete,DOWN,,,
T18,-9,47504,Sam Burns,USA,-7,-7,F,4,,66,68,67,72,273,True,complete,DOWN,,,
T21,4,32839,Hideki Matsuyama,JPN,-5,-5,F,4,,69,70,67,69,275,True,complete,UP,,,
T21,-8,40098,Matt Fitzpatrick,ENG,-5,-5,F,4,,66,67,69,73,275,True,complete,DOWN,,,
T21,4,35450,Patrick Cantlay,USA,-5,-5,F,4,,68,70,68,69,275,True,complete,UP,,,
T21,-5,51766,Wyndham Clark,USA,-5,-5,F,4,,67,69,67,72,275,True,complete,DOWN,,,
25,3,49855,Kristoffer Reitan,NOR,-3,-3,F,4,,70,69,68,70,277,True,complete,UP,,,
26,-5,29936,Ryan Fox,NZL,-2,-2,F,4,,66,68,70,74,278,True,complete,DOWN,,,
27,1,46340,Alex Smalley,USA,-1,-1,F,4,,67,68,72,72,279,True,complete,UP,,,
28,-3,52215,Robert MacIntyre,SCO,E,0,F,4,,67,76,63,74,280,True,complete,DOWN,,,
29,-7,31323,Gary Woodland,USA,+2,2,F,4,,66,68,71,77,282,True,complete,DOWN,,,
WD,0,39324,J.J. Spaun,USA,-,999,-,-1,,-,-,-,-,0,False,withdrawn,CONSTANT,,,
