player_id,player_name,school
46046,Scottie Scheffler,University of Texas
28237,Rory McIlroy,
57366,Cameron Young,Wake Forest University
40098,Matt Fitzpatrick,Northwestern University
51766,Wyndham Clark,University of Oregon
34098,Russell Henley,University of Georgia
59095,Chris Gotterup,Rutgers University
47504,Sam Burns,Louisiana State University
30911,Tommy Fleetwood,
48081,Xander Schauffele,San Diego State University
50525,Collin Morikawa,University of California-Berkeley
39324,J.J. Spaun,San Diego State University
46717,Viktor Hovland,Oklahoma State University
37455,Si Woo Kim,Yonsei University
46970,Jon Rahm,Arizona State University
22405,Justin Rose,
46414,Aaron Rai,
52955,Ludvig Åberg,Texas Tech University
52215,Robert MacIntyre,McNeese State University
60004,Jacob Bridgeman,Clemson University
27349,Alex Noren,Oklahoma State University
29936,Ryan Fox,
59018,Ryan Gerard,University of North Carolina-Chapel Hill
34363,Tyrrell Hatton,
33448,Justin Thomas,University of Alabama
54591,Ben Griffin,University of North Carolina-Chapel Hill
32839,Hideki Matsuyama,Tohoku Fukushi University
35450,Patrick Cantlay,UCLA
34360,Patrick Reed,Augusta University
37378,Min Woo Lee,
55182,Tom Kim,
61522,Michael Brennan,Wake Forest University
49855,Kristoffer Reitan,
56630,Akshay Bhatia,
49960,Sepp Straka,University of Georgia
45486,Joaquin Niemann,
49771,J.T. Poston,Western Carolina University
47959,Bryson DeChambeau,Southern Methodist University
48117,Kurt Kitayama,University of Nevada-Las Vegas
33204,Shane Lowry,University College Dublin
57364,Michael Thorbjornsen,Stanford University
52453,Nicolai Højgaard,
31323,Gary Woodland,University of Kansas
34099,Harris English,University of Georgia
24502,Adam Scott,University of Nevada-Las Vegas
46340,Alex Smalley,Duke University
34021,Bud Cauley,University of Alabama
46442,Maverick McNealy,Stanford University
32102,Rickie Fowler,Oklahoma State University
33141,Keegan Bradley,St. John's University
47420,Jake Knapp,UCLA
39058,Lucas Herbert,
51003,Marco Penge,
48887,Matt Wallace,Jacksonville State University
39997,Corey Conners,Kent State University
55721,Alex Fitzpatrick,Wake Forest University
66701,Jackson Koivun,Auburn University
57492,Eugenio Chacarra,
34046,Jordan Spieth,University of Texas
39971,Sungjae Im,Korea National Sport University
51349,Nico Echavarria,University of Arkansas
55893,Sam Stevens,Oklahoma State University
40026,Daniel Berger,Florida State University
39975,Michael Kim,University of California-Berkeley
27644,Brian Harman,University of Georgia
63454,Johnny Keefer,Baylor University
51287,Ryo Hisatsune,
57975,Harry Hall,University of Nevada-Las Vegas
59836,Pierceson Coody,University of Texas
57688,Casey Jarvis,
28089,Jason Day,
52689,Rasmus Neergaard-Petersen,Oklahoma State University
46464,Jordan Smith,
52686,Rasmus Højgaard,
39977,Max Homa,University of California-Berkeley
59141,Matt McCarty,Santa Clara University
39546,Keith Mitchell,University of Georgia
47591,Eric Cole,Nova Southeastern University
61193,David Puig,
63455,Ross Steelman,Georgia Tech
51997,Andrew Novak,Wofford College
59440,Ricky Castillo,University of Florida
57123,Steven Fisk,Georgia Southern University
52666,Sami Valimaki,
25493,Nick Taylor,University of Washington
51634,Sahith Theegala,Pepperdine University
51977,Max Greyserman,Duke University
59143,Mac Meissner,Southern Methodist University
63343,Aldrich Potgieter,
48867,Matti Schmid,University of Louisville
33653,Thomas Detry,University of Illinois
57737,Jayden Schaper,
57869,Ben James,University of Virginia
60019,Jackson Suber,University of Mississippi
47993,Denny McCarthy,University of Virginia
36884,Ben Kohles,University of Virginia
35461,Beau Hossler,University of Texas
49813,Daniel Hillier,
49228,Keita Nakajima,Nippon Sport Science University
66417,Blades Brown,
28723,John Parry,
26328,Shaun Norris,
40250,Taylor Pendrith,Kent State University
45522,Christiaan Bezuidenhout,
55965,Jacob Skov Olesen,
45242,Kevin Yu,Arizona State University
30926,Chris Kirk,University of Georgia
36699,Patrick Rodgers,Stanford University
60386,Sudarshan Yellamaraju,
34256,Andrew Putnam,Pepperdine University
51696,Rico Hoey,University of Southern California
31646,Emiliano Grillo,
48237,Oliver Lindell,
39335,Kevin Roy,Long Beach State University
35296,Haotong Li,
35314,Andy Sullivan,
53165,Doc Redman,Clemson University
45523,Thriston Lawrence,
50823,Tom McKibbin,
50095,Austin Smotherman,Southern Methodist University
64052,Angel Ayora,
25900,Lucas Glover,Clemson University
58168,Davis Thompson,University of Georgia
61148,Kota Kaneko,
36799,Stephan Jaeger,University of Tennessee-Chattanooga
39201,Nacho Elvira,
52576,Sandy Scott,Texas Tech University
36689,Brooks Koepka,Florida State University
47497,Hennie Du Plessis,
54788,Chandler Blanchet,University of West Florida
51950,Max McGreevy,University of Oklahoma
47995,Davis Riley,University of Alabama
54421,Garrick Higgo,University of Nevada-Las Vegas
27649,Brandt Snedeker,Vanderbilt University
36326,David Lipsky,Northwestern University
57900,Chandler Phillips,Texas A&M University
21209,Sergio Garcia,
57259,Dan Brown,
35532,Tom Hoge,Texas Christian University
39262,Alvaro Ortiz,University of Arkansas
54628,Lee Hodges,University of Alabama
35891,Cameron Smith,
29454,Bernd Wiesberger,
40058,Zac Blair,Brigham Young University
63121,William Mouw,Pepperdine University
60165,Jose Luis Ballester,
34126,Scott Vincent,Virginia Tech
34317,Joakim Lagergren,
29725,Tony Finau,
37094,Joe Dean,
48001,Zach Bauchou,Oklahoma State University
48293,Mikael Lindberg,
52375,Doug Ghim,University of Texas
34371,Adrien Saddier,
64624,Tommy Morrison,University of Texas
55707,Calum Hill,Western New Mexico University
35709,Jeff Winther,
65496,Cole Sherwood,Vanderbilt University
54185,Elvis Smylie,
54525,Ian Holt,Kent State University
36801,Mark Hubbard,San Jose State University
35506,Mackenzie Hughes,Kent State University
34362,Laurie Canter,
29420,Billy Horschel,University of Florida
45194,Marcus Armitage,
63807,Neal Shipley,Ohio State University
24459,Richard Sterne,
51680,Alistair Docherty,California State University-Chico
60495,Davis Bryant,
35778,Kazuki Higa,
47679,Victor Perez,University of New Mexico
46443,Brian Campbell,University of Illinois
63125,Dylan Menante,University of North Carolina-Chapel Hill
37338,Zecheng Dou,
36344,Michael Hollick,
45847,JC Ritchie,
33968,Thorbjørn Olesen,
46823,Jeremy Gandon,Kansas State University
56643,Manuel Elvira,
47078,Travis Smyth,
54218,Yuta Sugiura,
50223,Ewen Ferguson,
49947,Taylor Moore,University of Arkansas
