rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,40250,Taylor Pendrith,Canada,CAN,"He was the nearest outside the bubble in the Official World Golf Ranking that sent its top 50 at the end of 2025 into the Masters. With a T6 at Waialae, he's now 43rd and out to  cement a spot at the next checkpoint on March 30 .",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
14,49771,J.T. Poston,United States of America,USA,"It’s hard to be a horse in a shootout, but of course he is. It’s in his profile to thrive when deeply red numbers are out there. The only one in the field with top 15s in the last three editions averaged 66.75 in those 12 rounds.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
13,52955,Ludvig Åberg,Sweden,SWE,"Making his first start at The American Express. While he’ll have to join the others in flooring it from the get-go, he’s proven that unfamiliarity isn’t a headwind. Walked off 2025 with eight straight top 25s worldwide.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
12,45522,Christiaan Bezuidenhout,South Africa,RSA,"The forgotten runner-up to Nick Dunlap’s victory as an amateur here two years ago, the South African is in his fifth straight appearance. He wrapped up 2025 by going 10-for-10 with four top 10s among six top 20s worldwide.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
11,57364,Michael Thorbjornsen,United States of America,USA,"Back for a second appearance after missing last year’s cut on the number. However, he was battling symptoms of mono that’d linger for a while. Once he kicked it, he’d go on to lead the TOUR in greens hit and record six top 15s.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
10,40098,Matt Fitzpatrick,England,ENG,"No one is more eager to get his season started than the 31-year-old Brit in his tournament debut. Dating back to the 2025 Masters, he’s cashed in 19 straight. His win at the DP World Tour Championship was one of nine top 10s.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
9,57975,Harry Hall,England,ENG,"Ah, the value of rest. After performing at a consistently high level for most of 2025, he ended the year with a pair of missed cuts, but he was back in midseason form at Waialae with a personal-best T6. T21 at PGA WEST last year.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
8,49960,Sepp Straka,Austria,AUT,This is the 50th anniversary of Johnny Miller’s successful title defense. It’s the only time it’s happened in the 66-year history of the tournament. Straka put a bow on a two-win 2025 with a solo third at the Hero Challenge.,The American Express,graphql,2026-01-27T23:52:11.871088+00:00
7,37455,Si Woo Kim,South Korea,KOR,The 2021 champ picked up where he left off in 2025. His T11 at Waialae (where he led the field in greens hit and Strokes Gained: Tee-to-Green) was his eighth straight top 25 worldwide. Five top 25s overall at The American Express.,The American Express,graphql,2026-01-27T23:52:11.871088+00:00
6,47504,Sam Burns,United States of America,USA,"Given that he led the TOUR in putting in 2025, it was strange to watch him scuffle, which he did early and again a little bit later, but he ended on an upswing. His solid slate at PGA WEST includes two T6s among four top 20s.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
5,35450,Patrick Cantlay,United States of America,USA,"Although he’s always a threat when par is of value, the SoCal native also and always has had the gear to compete on slick tracks like this week’s set. Since 2019, he’s 6-for-6 with four top 10s, including a T5 last year.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
4,59018,Ryan Gerard,United States of America,USA,"Think he’s feelin’ it right now? With a P2 in Mauritius (to qualify for the Masters) and a solo second at Waialae in his last two events, the ingredients are there for a breakout season. This is his second start at PGA WEST.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
3,54591,Ben Griffin,United States of America,USA,"In the books as a married man with a T19 at the Sony Open in Hawaii. It wasn’t the prettiest of performances, but he was the only one inside the top 30 with as many as two rounds over par. T9-T7 the last two trips to PGA WEST.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
2,52215,Robert MacIntyre,Scotland,SCO,"It’s never about how you start; it’s always about how you finish. He closed out a T4 at the Sony Open in Hawaii with a field-low, bogey-free, 7-under 63. It extended his streak of top 10s in official events worldwide to four.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
1,46046,Scottie Scheffler,United States of America,USA,"Back at PGA WEST after missing last year’s edition to heal from the holiday hand injury, but it didn’t prevent him from snagging a  fourth consecutive Player of the Year award . Solo third among four top 25s in five starts here.",The American Express,graphql,2026-01-27T23:52:11.871088+00:00
