rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,57366,Cameron Young,United States of America,USA,"Hasn’t reignited like a handful of his peers who haven’t let up, but Riviera feeds directly into his skill set to capitalize off the tee and roll in putts. Since a co-runner-up in his debut in 2022, he’s added a T20 and a T16.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
14,51287,Ryo Hisatsune,Japan,JPN,"There’s never been a first-time winner in a Signature Event and there hasn’t been an official win by a debutant at Riviera since Pat Fitzsimons in 1975, but the Japanese talent is in some kind of groove. T2-T10-T8 in his last three starts.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
13,59095,Chris Gotterup,United States of America,USA,"Continuing his foray on the sites for Signature Events, he’s a better fit in his debut at Riviera than he was in his first look at Pebble Beach where he placed T37. His driver plays up here. Scorable greens help (more below).",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
12,28089,Jason Day,Australia,AUS,"Still humming along and not yet a full month removed from a co-runner-up at The American Express, he isn’t so much lurking as he hasn’t gone away. Riviera brought out the best in him with ninth-place finishes in the last two.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
11,48081,Xander Schauffele,United States of America,USA,"Say what you want about his success in limited-field action with no cut, his T19 at the AT&T Pebble Beach Pro-Am easily was his personal best in three starts in that event. Now he’s treated to Riviera where he finished T4 in 2024.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
10,40098,Matt Fitzpatrick,England,ENG,Positioned to perform with the efficiency that netted a T5 here in 2021 (and rebound from missed cuts in the last two editions). Cashed in every start worldwide since the 2025 Masters and with authority. Top 15s in the last two.,The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
9,46717,Viktor Hovland,Norway,NOR,"In the context of the first two hosts of Signature Events this season, he’s performed significantly better at Riviera every time with two top fives among four top 20s in as many trips. Opened 2026 with a pair of top 15s abroad.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
8,47420,Jake Knapp,United States of America,USA,"Given his current form fueled by a consistently strong bag, the UCLA product and local native couldn’t be making his debut at Riviera at a better time. He’s opened 2026 with respective results of T11, T5, solo eighth and T8.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
7,28237,Rory McIlroy,Northern Ireland,NIR,"Golf is an individual sport, but he truly was his own worst enemy at Pebble Beach where he managed a T14 despite three double bogeys and one triple. Three top 10s at Riviera but not since 2022, and no podiums in eight tries.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
6,47504,Sam Burns,United States of America,USA,"Immediately turned the page after a dreadful WM Phoenix Open to finish T6 at the AT&T Pebble Beach Pro-Am with, what else, a marvelous week of putting. He’s been all or nothing at Riviera in six starts as well. T10 in 2024.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
5,35450,Patrick Cantlay,United States of America,USA,"Fresh off a T14 at Pebble Beach where he rallied with a bogey-free, 7-under 65 in the finale. It’s his second top 15 in three starts this season, but he’s had five of them at Riviera, three for a top four, including the last two.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
4,50525,Collin Morikawa,United States of America,USA,"With victory at Pebble Beach, he’s off the schneid.  As life outside the ropes is about to arrive at its most fulfilling , he can keep the pedal down in the meantime at Riviera where he was co-runner-up in 2022 and T6 in 2023.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
3,30911,Tommy Fleetwood,England,ENG,"With a personal-best T4 at the AT&T Pebble Beach Pro-Am, the Brit picked up where he left off as the FedExCup champion in 2025. It also was his fourth top-four finish worldwide in the interim. Personal-best T10 here in 2024.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
2,32839,Hideki Matsuyama,Japan,JPN,"Ludvig Åberg is the defending champ, but he won at Torrey Pines when The Genesis was displaced. Matsuyama is the most recent winner at Riviera in 2024. It’s one of five top-11 finishes here. Also in fantastic form upon arrival.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
1,46046,Scottie Scheffler,United States of America,USA,"If only he could avoid stumbling out of the gate, he’d be pretty good. Despite first-round problems the last two weeks, he battled for a T3 and a T4, respectively. They extended his streak of top-four finishes worldwide to nine.",The Genesis Invitational,graphql,2026-02-17T14:14:03.765780+00:00
