rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,52666,Sami Valimaki,Finland,FIN,"His blend of ball-striking and putting is the formula for what works best at Torrey Pines because it minimizes mistakes. The RSM Classic champ placed T15 here last year, pacing the field in conversion percentage inside 10 feet.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
14,37455,Si Woo Kim,South Korea,KOR,"For as consistently strong as he’s been striping it with nine consecutive top 25s worldwide upon arrival, he’s poised to establish a personal best at Torrey Pines where he has three top 25s but no better than a T11 in 2022.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
13,33141,Keegan Bradley,United States of America,USA,"With three top fives and another pair of top 20s contributing to his 8-for-8 slate at Torrey Pines since 2017, he’s a horse for the courses. The results are not surprising given his career profile as a long-hitting ball-striker.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
12,24502,Adam Scott,Australia,AUS,"He doesn’t always play Torrey Pines, but when he does, he populates the leaderboard. Debuted in 2019 with a solo second and placed T10 in 2021. Also cashed in both U.S. Opens here. Four top 25s in last six starts worldwide.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
11,55893,Sam Stevens,United States of America,USA,"His trends don’t converge often, but it happens with success over time. He’s 3-for-3 at the Farmers with a T13 in 2023 and a solo second last year. He also hung up top 10s in two of last three starts (T6, The American Express).",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
10,34099,Harris English,United States of America,USA,The defending champ has covered the podium throughout his career at Torrey Pines. It includes a P2 in 2015 and a solo third in the 2021 U.S. Open. Two runners-up in 2025 majors and an active streak of 18 consecutive cuts made.,Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
9,57366,Cameron Young,United States of America,USA,Expectations could not be higher as the 28-year-old begins his fifth season on TOUR. It’s the by-product of a breakthrough win (Wyndham Championship) and a strong Ryder Cup among a run of other successes. T20 in last trip (2022).,Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
8,52955,Ludvig Åberg,Sweden,SWE,"Harris English is defending his title, but Åberg is the most recent winner at Torrey Pines. He won The Genesis Invitational that relocated due to the nearby fires a year ago. Needs to be healthy after last week’s withdrawal, though.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
7,39324,J.J. Spaun,United States of America,USA,"Although his strong start to 2025 included a T15 at Torrey Pines, his historically stronger remainder of the year no doubt has him fired up about his 10th straight appearance. Bookended a season-opening T40 at Waialae with 66s.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
6,40250,Taylor Pendrith,Canada,CAN,"A big boy equal to the test has proven the fit for his muscle and precision. Since his debut in 2022, he’s 4-for-4 with top 10s in the last two editions. Opened 2026 with strong putting en route to a T6 at the Sony Open in Hawaii.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
5,59095,Chris Gotterup,United States of America,USA,"Fully formed at 26 years of age. In what was just his second start at Waialae Country Club, he modified his game to the course that has rewards more experience than he had. Such balance and control. Also 2-for-2 at Torrey Pines.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
4,32839,Hideki Matsuyama,Japan,JPN,"After winning the Hero World Challenge to bracket 2025 with victories, he launched 2026 with a T13 at the Sony Open in Hawaii. His power and precision from tee to green has yielded five top 20s at the Farmers; 9-for-9 since 2017.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
3,48081,Xander Schauffele,United States of America,USA,"The local product who missed last year’s Farmers wants to replicate what Scottie Scheffler did last week after his own delayed start to 2025. Schauffele has three top 10s in his last five appearances, including the U.S. Open.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
2,59018,Ryan Gerard,United States of America,USA,The results speak for themselves. He was the runner-up in each of his last three starts dating back to the Mauritius Open in December (that begat an exemption into the Masters). Splashed at Torrey Pines last year with a T15.,Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
1,28089,Jason Day,Australia,AUS,"On top of staying healthy, the 38-year-old has done a great job of remaining a threat. To wit, he’s fresh off a T2 at PGA WEST, his fifth top 10 since last year’s T3. Two wins, a T2 and a T3 among seven top 10s at Torrey Pines.",Farmers Insurance Open,graphql,2026-01-27T23:48:53.917188+00:00
