rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
30,29936,Ryan Fox,New Zealand,NZL,The last man in the field didn’t record a top 45 in the first two legs but it’s understandable if his feet haven’t returned to Earth since his major breakthrough at Royal Birkdale at age 39. One of six first-timers at East Lake.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
29,55721,Alex Fitzpatrick,England,ENG,"One of two PGA TOUR rookies in the  field . He wasn’t eligible for the FedExCup until he won the Zurich Classic of New Orleans alongside his older brother, Matt. After a torrid run, Alex has gone five starts without a top 40.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
28,49855,Kristoffer Reitan,Norway,NOR,The PGA TOUR rookie from Norway splashes at 20th in the FedExCup. Pretty much everything since his breakthrough victory at the Truist Championship has been gravy. It’s included a T6 among four top 25s. T22 last week at Bellerive.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
27,37378,Min Woo Lee,Australia,AUS,He’s in just his third season on the PGA TOUR but it feels overdue that he’s making his East Lake debut. Found himself on three podiums in what’s been a balanced season. Scorer’s mentality supersedes tee-to-green inconsistency.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
26,39324,J.J. Spaun,United States of America,USA,J.J. Spaun ... It was a tall task to come close to last year’s career season but he’s back! Scuffled until winning the Valero Texas Open and didn’t waste it with five top 15s since. In position to pay off lessons learned here a year ago (T25).,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
25,46340,Alex Smalley,United States of America,USA,The only non-PGA TOUR winner in the field is attempting to match what previous non-winner Tommy Fleetwood accomplished here a year ago. Smalley also is a first-timer at East Lake but arrives with three straight top 25s.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
24,57366,Cameron Young,United States of America,USA,"Given his mini-skid ahead of his third appearance, it wouldn’t hurt for him to tap into how he got around East Lake in only 62 strokes in last year’s second round. He paid it off with a T4. Quite simply, his putting must improve.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
23,59018,Ryan Gerard,United States of America,USA,"Although the debutant has been inside the top 30 for most of the year, he didn’t display consistently strong form until the second half, but that’s when he matters most. Rolls in with two top 10s among four top 25s in five starts.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
22,31323,Gary Woodland,United States of America,USA,Highlighting his play pales in comparison to the daily triumphs he experiences but he’s chasing success just like everyone else. And you knew that he’d box out to return to East Lake this year. It’s his first look since 2019.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
21,56630,Akshay Bhatia,United States of America,USA,"Unusually as inconsistent as he is a threat, so he presents as a wild card in an elite field in his third start at East Lake. Connected four sub-70s here last year and settled for a T13. Also fresh off a steady T12 at Bellerive.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
20,22405,Justin Rose,England,ENG,"After a five-year hiatus, he’s now made consecutive TOUR Championship starts. T21 last year. As it concerns his prospects, form over time is overrated, but absence of a drought isn’t. Poised to pop any time. T22 last week.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
19,52215,Robert MacIntyre,Scotland,SCO,"Clutch. With a T7 at the BMW Championship, he became the first in Playoffs history to withdraw during an early event – as he did from the FedEx St Jude with a sore knee – and then climb into the top 30 at the penultimate leg.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
18,60004,Jacob Bridgeman,United States of America,USA,One of the two PGA TOUR non-winners at East Lake last year and placed T27. Returns as the winner of The Genesis Invitational and the circuit’s best putter. He’s also fresh off a clinic with his short irons at Bellerive (ninth).,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
17,24502,Adam Scott,Australia,AUS,"In addition to his return to East Lake for the first time since 2024 (T4), he’s celebrating the 20th anniversary of his win here (in the last edition before the FedExCup Playoffs launched). Three straight top 20s upon arrival.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
16,46717,Viktor Hovland,Norway,NOR,It’s been a minute since he’s settled into a groove but he’s 7-for-7 in advancing to the TOUR Championship in his career. Took the title (and the FedExCup) at East Lake in 2023. Popped for a win two months ago. Two top 20s since.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
15,32839,Hideki Matsuyama,Japan,JPN,"The fixture at East Lake hasn’t made noise here since a T4 in 2018. However, he’s gone all-in on his schedule in pursuit of the FedExCup. This is his seventh straight week on the road. Went T3-T5-T7-T7 until a T28 at Bellerive.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
14,55182,Tom Kim,South Korea,KOR,He’s only 24 but it’s been a long three years for his East Lake return after his 2023 debut. No doubt he appreciates the rigors of this climb as he settles into his fully formed self. That makes him as dangerous as his skill set.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
13,59095,Chris Gotterup,United States of America,USA,"Adapts to challenges with ease. The three-time winner this year just logged a T4 at Bellerive where his short game, of all things, was sublime. That can only fortify his confidence in his second start at East Lake (T10, 2025).",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
12,48081,Xander Schauffele,United States of America,USA,"After missing the TOUR Championship for the first time last year, he launched his revenge campaign with a victory in his next start at the Baycurrent Classic. Has a win (2017) and three seconds among six top fives at East Lake.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
11,34098,Russell Henley,United States of America,USA,The Georgia native is right at home at East Lake. Closed out a T4 in 2024 with a 62 and then opened last year with a 61 en route to a co-runner-up. Also placed T3 way back in 2017. Four top 20s in last five starts. Never slumps.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
10,52955,Ludvig Åberg,Sweden,SWE,"Three full seasons, three trips to East Lake. The Swede continues to fight round-to-round inconsistency despite rising for eight top 10s this season. He’s also one of only five in the field with top 20s in the first two legs.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
9,40098,Matt Fitzpatrick,England,ENG,"After just missing out on a berth to tee it up at East Lake the last two years, he’s been a lock for months, with three wins across four starts into April. No top 10s in his last three, but the Brit’s firepower is undeniable.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
8,37455,Si Woo Kim,South Korea,KOR,"No matter the sport, playoffs reveal surprise performers. He doesn’t sneak up on anyone what with five podium finishes among 11 top 10s this year, but this is just his third start at East Lake, so he could be a unexpected problem.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
7,35450,Patrick Cantlay,United States of America,USA,Lowest opening seed of the Playoffs (42nd) to qualify. Ninth trip in 10 years. The 2021 FedExCup champ arrives with solid form – T8-T12-second across his last three – and he’s a horse at East Lake. Four top sevens since 2021.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
6,50525,Collin Morikawa,United States of America,USA,"En route to a T4 at Bellerive, he capitalized on his default strength from tee to green on a course with unfamiliar putting surfaces, but his stroke also was solid. He’s never missed a TOUR Championship. Low aggregate in 2024.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
5,30911,Tommy Fleetwood,England,ENG,"Becoming the first to successfully defend a FedExCup title is a cool narrative, but he wouldn’t mind the kind of sharper form upon arrival that he enjoyed ahead of last year’s PGA TOUR breakthrough. Always a menace, though",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
4,47504,Sam Burns,United States of America,USA,"With three podium finishes in his prior four starts that bridged the birth of his second child, a T28 at the BMW Championship hits as a hiccup, but now he’s back on familiar greens where he went sub-70 in his last nine rounds.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
3,28237,Rory McIlroy,Northern Ireland,NIR,He didn’t conclude the BMW Championship as he wanted but the solo third is exactly what he needed to feel after the third-to-last-place finish at the FedEx St. Jude. Already the winningest FedExCup champion with three titles.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
2,46046,Scottie Scheffler,United States of America,USA,"Despite the malady that dogged him at the  BMW Championship , he placed 12th. Now he has a few days to recover, reset and restart for a run at his second FedExCup title (2024). Opened the Playoffs with victory at the FedEx St. Jude.",TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
1,51766,Wyndham Clark,United States of America,USA,His trio of mid-range birdies to walk off victory at the BMW Championship was a microcosm of his strength that he renewed midseason. It feeds his confidence that yields success. Possesses momentum precisely when he wants it.,TOUR Championship,graphql,2026-08-26T23:11:04.274599+00:00
