rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,34099,Harris English,United States of America,USA,"Although he’s more of a threat for a top 25 than a victory, he recorded a T10 here in 2016, so he’s displayed his best self. He’s also on the bounce of a season-best T4 at the RBC Heritage where he flashed vintage putting.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
14,31323,Gary Woodland,United States of America,USA,"When he won the Texas Children’s Houston Open, he said that he wanted it to make a difference for someone else who also battles demons, but his T14-Win-T33-T8 run since opening up about his have showcased the possibilities.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
13,48117,Kurt Kitayama,United States of America,USA,Perhaps the quietest among the elite but rises often when par is a good score. Power and precision from tee to green defines his attack but his greenside touch accentuates his profile. Fresh off a T8 at the RBC Heritage.,Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
12,51634,Sahith Theegala,United States of America,USA,This will be fun to watch. He checks all of the boxes for pretty much every test but the Blue Monster demands everyone’s best. He’s been close to his all season en route to four top 10s among eight top 25s. Ranks 14th in scoring.,Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
11,47420,Jake Knapp,United States of America,USA,"Among five to co-lead the PGA TOUR with five top 10s on the season, he’s the only who’s yet to land on a podium. Toss in a pair of 11th-place finishes and he’s arguably the most consistently strong among them. Second in scoring.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
10,22405,Justin Rose,England,ENG,"His win on the Blue Monster in 2012 preceded the redo but he’s among those with experience on the current version. Resonates on premium sites, T3 in his last start at the Masters and leads the PGA TOUR in greens in regulation.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
9,47504,Sam Burns,United States of America,USA,"It was only three weeks ago when he co-led the Masters with an opening 67 en route to a T7. It’s one of four top 25s upon arrival, so he’s simmering. While unfamiliar greens benefits ball-strikers early, great putters always rise.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
8,35450,Patrick Cantlay,United States of America,USA,"With a T7-T12-T8 surge since the Valspar Championship, he’s reemerged as a consistent lurker on leaderboards with another tough test in the Blue Monster waiting. Slots seventh on TOUR in bogey avoidance, a measure of his tenacity.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
7,37455,Si Woo Kim,South Korea,KOR,"The 30-year-old is a career-best 25th in the Official World Golf Ranking thanks in large part to a trio of podium finishes this year, but his run dates back to the Playoffs. Still No. 1 in fairways hit and proximity to the hole.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
6,59095,Chris Gotterup,United States of America,USA,"While he’s one of only two with multiple wins this season, this endorsement leans more on fit than form. Proven to adapt beyond his years, the 26-year-old pays off his muscle with precision on approach and above-average putting.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
5,56630,Akshay Bhatia,United States of America,USA,"Now a proven winner on a long, strong track at Bay Hill, the lefty already had accumulated receipts on tests where he could wield drivers often and in the wind. Oh, and he leads the TOUR in converting greens into par breakers.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
4,32839,Hideki Matsuyama,Japan,JPN,"Rested since another fruitful Masters (T12), he’s poised to plug in his tee-to-green machine on a track on which the targets are unfamiliar to most, but the 34-year-old’s putting is at a historically strong level right now, too",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
3,50525,Collin Morikawa,United States of America,USA,"While everyone’s approach limits taking one week at a time, literally, his mindset is the same what with ongoing discomfort in his back and his first child on the way, but he’s continued to flourish. T7-T4 since the Masters.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
2,57366,Cameron Young,United States of America,USA,"Power and precision off the tee plays way up on the longest tracks, so he’s poised to enjoy his debut on the Blue Monster. Of course, he’s more sizzle than slotting second in total driving. Also second in proximity to the hole.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
1,46046,Scottie Scheffler,United States of America,USA,"“Stuck” on one win this season but beaten by only one in each of his last two starts, so he’s “close.” That tongue-in-cheek refrain aside, he remains the best on TOUR from tee to green and numerous scoring metrics. Shocker.",Cadillac Championship,graphql,2026-04-30T05:04:30.604893+00:00
