rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,57366,Cameron Young,United States of America,USA,"Now that he’s experienced the obligations of defending a title for the first time (at the Wyndham Championship), he can reset and pick up where he left off after a T5 at TPC Southwind last year. His closing 64 was the field low.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
14,51766,Wyndham Clark,United States of America,USA,"Finally cooled after a blistering two-month stretch that was highlighted by two wins, including his second U.S. Open victory. Guaranteed four rounds this week, he can showcase his firepower once again. T7 here in 2024.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
13,32102,Rickie Fowler,United States of America,USA,"He was last year’s early “Cinder-fella story” with a T6 at TPC Southwind. Opening at 64th in the FedExCup, he was the lowest among the five to crash the top 50. Splashes at 28th this year with a T15-T18-T8 surge this summer.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
12,50525,Collin Morikawa,United States of America,USA,"Didn’t disappear after winning the AT&T Pebble Beach Pro-Am in February, but a sore back and the birth of his first child quelled his impact. With a T17-third-T18 stretch since the U.S. Open, he's proved that he’s a force again.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
11,34098,Russell Henley,United States of America,USA,"The consummate threat with a high floor and adaptability for every challenge. At 15th in points, he’s poised to reach the TOUR Championship for the fourth straight year. Top 20s in his last three starts; two top 20s here since 2023.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
10,28237,Rory McIlroy,Northern Ireland,NIR,"Arrives slotted 12th in the FedExCup and rested since The Open. Although he’s limited his schedule worldwide to just 13 starts thus far, three resulted in a podium finish. Rallied for a T3 at TPC Southwind in 2023.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
9,52955,Ludvig Åberg,Sweden,SWE,"It can be easy to take his talent for granted but he has been a problem most of the time, anyway. Last pegged it at The Open, where he finished T9 for his seventh top 10 in 13 starts. Also logged a T9 at TPC Southwind last year.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
8,55182,Tom Kim,South Korea,KOR,"After failing to qualify for the Playoffs last year, he’s back and at 26th in points. He’s also surging. His last two months yielded a win at the Genesis Scottish Open, a solo third at the U.S. Open, a T5, a T15 and a T20.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
7,35450,Patrick Cantlay,United States of America,USA,"Stayed sharp with a T8 at the Rocket Classic, but he’s still after his first top five since a T2 at last year’s TOUR Championship. TPC Southwind could be the spot. Since 2023, he’s gone P2-T12-T9 with a scoring average of 67.25.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
6,48081,Xander Schauffele,United States of America,USA,"For all of his success, he’s been a monster in the FedExCup Playoffs, but he’s even hungrier after falling short of the TOUR Championship for the first time last year. Solo second in his last start in Detroit; P2 here in 2024.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
5,30911,Tommy Fleetwood,England,ENG,"The 2025 FedExCup champ opens his title defense at No. 9 in points despite the absence of a podium finish. Fittingly, he logged a T3 here in both 2023 and as the ignitor for last year’s Playoffs. Off since a T4 at The Open.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
4,47504,Sam Burns,United States of America,USA,"A wild July opened with the birth of his second child and featured an up-and-down solo third at The Open, where he spun a 62 in the second round. Solid record at TPC Southwind includes a P2 in 2021 and a T5 in 2024.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
3,40098,Matt Fitzpatrick,England,ENG,"With three wins, two seconds and a T3, it’s absurd that he’s almost 800 points behind one-time winner Scottie Scheffler, but the Brit can flip the script in the Playoffs. He has three top 10s in seven starts at TPC Southwind.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
2,32839,Hideki Matsuyama,Japan,JPN,"Refuses to relent ... and tire. Since a T14 at The Open, he’s added a T3, a T5 and a T7 in consecutive weeks, so this is five in a row. Won at TPC Southwind in 2024 and lost in a playoff in 2021. Five top 20s in all.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
1,46046,Scottie Scheffler,United States of America,USA,"The FedExCup points leader cannot be passed for the top spot at TPC Southwind, but he still arrives with a chip on his shoulder after “settling” for five runner-up finishes this season. Solo fourth here in 2024, T3 last year.",FedEx St. Jude Championship,graphql,2026-08-12T20:40:33.818983+00:00
