player_id,player_name,world_rank,world_rank_points,fetched_date
46046,Scottie Scheffler,1,517.635,2026-09-13
28237,Rory McIlroy,2,226.6868,2026-09-13
57366,Cameron Young,3,307.2206,2026-09-13
40098,Matt Fitzpatrick,4,280.245,2026-09-13
51766,Wyndham Clark,5,295.4817,2026-09-13
34098,Russell Henley,6,153.6068,2026-09-13
59095,Chris Gotterup,7,244.2736,2026-09-13
30911,Tommy Fleetwood,8,152.5518,2026-09-13
47504,Sam Burns,9,205.2752,2026-09-13
48081,Xander Schauffele,10,163.7987,2026-09-13
50525,Collin Morikawa,11,187.9331,2026-09-13
46717,Viktor Hovland,12,159.8717,2026-09-13
37455,Si Woo Kim,13,222.8835,2026-09-13
46970,Jon Rahm,14,183.8201,2026-09-13
22405,Justin Rose,15,136.1158,2026-09-13
52955,Ludvig Åberg,16,153.7214,2026-09-13
39324,J.J. Spaun,17,110.8371,2026-09-13
52215,Robert MacIntyre,18,119.48,2026-09-13
46414,Aaron Rai,19,139.9692,2026-09-13
27349,Alex Noren,20,82.5657,2026-09-13
59018,Ryan Gerard,21,170.2257,2026-09-13
33448,Justin Thomas,22,81.8526,2026-09-13
54591,Ben Griffin,23,87.1505,2026-09-13
34363,Tyrrell Hatton,24,102.2013,2026-09-13
29936,Ryan Fox,25,148.1109,2026-09-13
32839,Hideki Matsuyama,26,141.9412,2026-09-13
35450,Patrick Cantlay,27,112.8772,2026-09-13
60004,Jacob Bridgeman,28,168.2192,2026-09-13
37378,Min Woo Lee,29,144.2512,2026-09-13
55182,Tom Kim,30,157.4832,2026-09-13
61522,Michael Brennan,31,98.3538,2026-09-13
49855,Kristoffer Reitan,32,115.3405,2026-09-13
56630,Akshay Bhatia,33,146.4433,2026-09-13
49960,Sepp Straka,34,81.947,2026-09-13
34360,Patrick Reed,35,106.5105,2026-09-13
47959,Bryson DeChambeau,36,100.5773,2026-09-13
49771,J.T. Poston,37,114.8173,2026-09-13
48117,Kurt Kitayama,38,98.3037,2026-09-13
52453,Nicolai Højgaard,39,114.4875,2026-09-13
57364,Michael Thorbjornsen,40,107.5041,2026-09-13
34099,Harris English,41,53.9484,2026-09-13
45486,Joaquin Niemann,42,95.1987,2026-09-13
31323,Gary Woodland,43,117.0598,2026-09-13
34021,Bud Cauley,44,100.561,2026-09-13
46340,Alex Smalley,45,117.5627,2026-09-13
46442,Maverick McNealy,46,78.5173,2026-09-13
32102,Rickie Fowler,47,90.5314,2026-09-13
33141,Keegan Bradley,48,44.4201,2026-09-13
47420,Jake Knapp,49,84.3812,2026-09-13
39058,Lucas Herbert,50,85.7598,2026-09-13
24502,Adam Scott,51,92.467,2026-09-13
51003,Marco Penge,52,40.698,2026-09-13
33204,Shane Lowry,53,59.8426,2026-09-13
39997,Corey Conners,54,56.0875,2026-09-13
48887,Matt Wallace,55,79.1119,2026-09-13
34046,Jordan Spieth,56,63.3653,2026-09-13
57492,Eugenio Chacarra,57,83.5208,2026-09-13
39971,Sungjae Im,58,78.7614,2026-09-13
51349,Nico Echavarria,59,76.1602,2026-09-13
55893,Sam Stevens,60,66.0111,2026-09-13
55721,Alex Fitzpatrick,61,90.2699,2026-09-13
40026,Daniel Berger,62,67.299,2026-09-13
27644,Brian Harman,63,53.004,2026-09-13
39975,Michael Kim,64,61.5556,2026-09-13
66701,Jackson Koivun,65,56.7843,2026-09-13
51287,Ryo Hisatsune,66,87.1865,2026-09-13
57975,Harry Hall,67,63.1839,2026-09-13
59836,Pierceson Coody,68,72.9551,2026-09-13
57688,Casey Jarvis,69,85.3119,2026-09-13
28089,Jason Day,70,53.4545,2026-09-13
63454,Johnny Keefer,71,59.8812,2026-09-13
59141,Matt McCarty,72,66.9055,2026-09-13
52686,Rasmus Højgaard,73,48.2121,2026-09-13
46464,Jordan Smith,74,59.6495,2026-09-13
39546,Keith Mitchell,75,70.8561,2026-09-13
47591,Eric Cole,76,68.2002,2026-09-13
39977,Max Homa,77,63.455,2026-09-13
61193,David Puig,78,50.1434,2026-09-13
51997,Andrew Novak,79,38.7202,2026-09-13
25493,Nick Taylor,80,51.6945,2026-09-13
52666,Sami Valimaki,81,13.9952,2026-09-13
57123,Steven Fisk,82,47.7097,2026-09-13
63455,Ross Steelman,83,60.6498,2026-09-13
51634,Sahith Theegala,84,74.2243,2026-09-13
52689,Rasmus Neergaard-Petersen,85,32.1647,2026-09-13
48867,Matti Schmid,86,47.956,2026-09-13
33653,Thomas Detry,87,46.0457,2026-09-13
59143,Mac Meissner,88,45.6882,2026-09-13
51977,Max Greyserman,89,33.5651,2026-09-13
47993,Denny McCarthy,90,39.9457,2026-09-13
63343,Aldrich Potgieter,91,38.6385,2026-09-13
57737,Jayden Schaper,92,21.4118,2026-09-13
49228,Keita Nakajima,93,37.8719,2026-09-13
35461,Beau Hossler,94,52.4386,2026-09-13
40250,Taylor Pendrith,95,38.0367,2026-09-13
45522,Christiaan Bezuidenhout,96,36.2641,2026-09-13
59440,Ricky Castillo,97,51.3557,2026-09-13
66417,Blades Brown,98,60.4095,2026-09-13
26328,Shaun Norris,99,39.2645,2026-09-13
49813,Daniel Hillier,100,50.6597,2026-09-13
45242,Kevin Yu,101,39.5773,2026-09-13
60019,Jackson Suber,102,48.1693,2026-09-13
31646,Emiliano Grillo,103,32.5569,2026-09-13
36699,Patrick Rodgers,104,53.1753,2026-09-13
28723,John Parry,105,39.1094,2026-09-13
36884,Ben Kohles,106,59.3035,2026-09-13
34256,Andrew Putnam,107,58.6046,2026-09-13
51696,Rico Hoey,108,27.996,2026-09-13
48237,Oliver Lindell,109,48.2251,2026-09-13
30926,Chris Kirk,110,22.339,2026-09-13
45523,Thriston Lawrence,111,31.5773,2026-09-13
60386,Sudarshan Yellamaraju,112,55.0332,2026-09-13
25900,Lucas Glover,113,28.4697,2026-09-13
58168,Davis Thompson,114,40.8633,2026-09-13
36799,Stephan Jaeger,115,45.9059,2026-09-13
53165,Doc Redman,116,45.1844,2026-09-13
39335,Kevin Roy,117,43.5742,2026-09-13
64052,Angel Ayora,118,36.0056,2026-09-13
50095,Austin Smotherman,119,41.5126,2026-09-13
55965,Jacob Skov Olesen,120,46.3235,2026-09-13
61148,Kota Kaneko,121,43.4393,2026-09-13
36689,Brooks Koepka,122,39.4591,2026-09-13
51950,Max McGreevy,122,24.9551,2026-09-13
35296,Haotong Li,124,28.4694,2026-09-13
39201,Nacho Elvira,125,48.5982,2026-09-13
47497,Hennie Du Plessis,126,44.4002,2026-09-13
54788,Chandler Blanchet,127,28.7171,2026-09-13
35314,Andy Sullivan,128,39.598,2026-09-13
47995,Davis Riley,129,34.4634,2026-09-13
54421,Garrick Higgo,130,8.0137,2026-09-13
36326,David Lipsky,131,42.8465,2026-09-13
35532,Tom Hoge,132,37.4544,2026-09-13
27649,Brandt Snedeker,133,39.0475,2026-09-13
57259,Dan Brown,134,15.6418,2026-09-13
50823,Tom McKibbin,135,18.2337,2026-09-13
57900,Chandler Phillips,136,37.3634,2026-09-13
29725,Tony Finau,137,33.4278,2026-09-13
