tournament_id,year,player_id,player_name,position,total_score,to_par,fedex_points,earnings,rounds_played,tournament_name,world_rank,player_name_stats,sg_putt,sg_total,sg_ott,sg_app,sg_t2g,sg_arg,season_sg_putt,season_sg_total,season_sg_ott,season_sg_app,season_sg_t2g,venue_clean,hist_times_played,hist_avg_finish,hist_best_finish,hist_wins,hist_top5s,hist_top10s,hist_cut_rate,hist_missed_cuts,has_won_here,has_course_history,has_made_cut_here,position_num,won,top5,top10,top20,venue_avg_finish,venue_finish_std,field_avg_rank,field_median_rank,form_trend,finish_consistency,recent_top10s,recent_top5s,recent_cuts_pct,recent_birdie_avg,recent_bogey_avg,recent_scoring_avg,recent_gir_pct,recent_scrambling,recent_bounce_back,recent_final_round,recent_sand_save,season_sg_arg,dg_fit_ott,dg_fit_app,dg_fit_arg,dg_fit_putt,dg_fit_total,course_ott_weight,course_app_weight,course_arg_weight,course_putt_weight
R2020002,2020,33410,Andrew Landry,1,262,-26,500.000,"$1,206,000.00",4,The American Express,127.0,Andrew Landry,1.807,1.187,1.964,-0.929,2.223,3.152,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,1,1,1,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,45526,Abraham Ancer,2,264,-24,300.000,"$730,300.00",4,The American Express,22.0,Abraham Ancer,2.379,0.693,1.759,0.872,3.324,2.452,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,2,0,1,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,46046,Scottie Scheffler,3,265,-23,190.000,"$462,300.00",4,The American Express,29.0,Scottie Scheffler,0.484,1.121,0.516,0.083,1.719,1.6360000000000001,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,3,0,1,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,49960,Sepp Straka,T4,268,-20,122.500,"$301,500.00",4,The American Express,154.0,Sepp Straka,1.752,0.918,2.811,-0.592,3.137,3.729,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,4,0,1,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,34021,Bud Cauley,T4,268,-20,122.500,"$301,500.00",4,The American Express,137.0,Bud Cauley,1.105,0.59,0.633,-0.124,1.098,1.222,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,4,0,1,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,34314,Sebastian Cappelen,T6,269,-19,88.750,"$218,587.50",4,The American Express,381.0,Sebastian Cappelen,1.507,0.481,-0.502,-0.097,-0.118,-0.02099999999999999,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,6,0,0,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,26596,Ryan Moore,T6,269,-19,88.750,"$218,587.50",4,The American Express,135.0,Ryan Moore,0.592,-0.07,2.66,-0.979,1.611,2.59,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,6,0,0,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,47504,Sam Burns,T6,269,-19,88.750,"$218,587.50",4,The American Express,171.0,Sam Burns,0.867,0.069,1.349,1.244,2.663,1.4189999999999998,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,6,0,0,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,35532,Tom Hoge,T6,269,-19,88.750,"$218,587.50",4,The American Express,146.0,Tom Hoge,1.119,0.408,2.237,0.265,2.911,2.646,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,6,0,0,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
R2020002,2020,39971,Sungjae Im,T10,270,-18,67.500,"$162,475.00",4,The American Express,24.0,Sungjae Im,1.33,-0.563,0.173,0.763,0.373,-0.39,0.0,0.0,0.0,0.0,0.0,THE AMERICAN EXPRESS,0,40.0,40.0,0,0,0,0.5,0,0,0,0,10,0,0,1,1,40.0,10.0,255.1156462585034,206.0,0.0,0.6666666666666666,0,0,0.5,4.0,23.054,70.4419,68.055,61.99,23.536,67.0,54.166,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.021,0.045,0.001
